                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0895,                 5.4728,                 2.5457,                 1.8377,                0.43306,                0.48404,                0.38255,                0.18323,                0.00435,                0.00309,                0.00011,                  2e-05,                 1.6067,                  5.131,                 2.5358,                 1.5813,               0.003252,               0.003252,               0.003252
                      2,                 1.4139,                 3.6041,                  1.279,                  1.349,                0.55974,                0.53029,                0.49328,                0.26579,                0.09267,                0.07209,                0.01219,                0.00286,                 1.5198,                 4.2883,                 1.4231,                 1.4855,              0.0065788,              0.0065788,              0.0065788
                      3,                 1.4033,                 3.1479,                 1.1707,                 1.3095,                  0.512,                0.52728,                 0.4595,                 0.2307,                0.21096,                0.20082,                0.08793,                0.02069,                 1.6893,                  3.298,                 1.6446,                 1.5447,              0.0098991,              0.0098991,              0.0098991
                      4,                 1.4159,                 2.8991,                 1.2071,                 1.2972,                0.50858,                 0.5345,                0.45889,                0.24168,                0.31054,                0.32471,                0.18758,                  0.053,                 1.6671,                 2.9613,                 1.6311,                 1.5751,              0.0099703,              0.0099703,              0.0099703
                      5,                  1.386,                 2.7318,                 1.1425,                 1.2811,                0.51249,                 0.5608,                 0.4927,                0.27159,                0.36077,                0.33162,                0.24025,                0.07011,                 1.5194,                 2.9605,                 1.5465,                 1.4669,              0.0099703,              0.0099703,              0.0099703
                      6,                 1.4134,                 2.6649,                 1.1317,                 1.2929,                0.52688,                0.51266,                0.45478,                0.23041,                0.37429,                0.31726,                0.22239,                0.06509,                 1.6974,                 3.0618,                 1.7228,                 1.6339,              0.0099604,              0.0099604,              0.0099604
                      7,                  1.396,                 2.5716,                 1.1237,                 1.2924,                0.53453,                0.53812,                0.49357,                0.25981,                0.37188,                0.37437,                 0.2617,                0.07698,                 1.6732,                 2.8435,                 1.4384,                  1.571,              0.0099505,              0.0099505,              0.0099505
                      8,                  1.353,                 2.4973,                  1.082,                 1.2635,                0.48735,                0.53656,                0.48611,                0.24452,                 0.3655,                0.30381,                0.23009,                 0.0662,                 1.7827,                 3.2511,                 1.5277,                 1.6645,              0.0099406,              0.0099406,              0.0099406
                      9,                 1.3383,                 2.4263,                 1.0585,                 1.2632,                0.49945,                 0.4912,                0.42259,                0.21948,                0.40624,                0.38261,                0.26403,                0.08359,                 1.7055,                 2.7227,                 1.5815,                 1.5547,              0.0099307,              0.0099307,              0.0099307
                     10,                 1.3311,                 2.4132,                 1.0567,                 1.2484,                0.52732,                0.54171,                0.50456,                0.27535,                0.45325,                0.40895,                0.33587,                0.11572,                 1.5724,                 2.5433,                  1.314,                 1.5147,              0.0099208,              0.0099208,              0.0099208
